Mouse.ID	Microbiota 	Diet	Gender	Genotype	Age.on.day.zero	Whole.gut.transit.time	Interval.between.FITC.gavage.and.euthanasia	Geometric.mean.of.fluorescence	Stomach.gut.segment.1	SI-1.gut.segment.2	SI-2.gut.segment.3	SI-3.gut.segment.4	SI-4.gut.segment.5	SI-5.gut.segment.6	SI-6.gut.segment.7	SI-7.gut.segment.8	SI-8.gut.segment.9	Cecum.gut.segment.10	Proximal.colon.gut.segment.11	Distal.colon.gut.segment.12
E6G1M4	GF	Turmeric	Female	Swiss-Webster wild-type	45	5.70	2	5.09	0.0157	0.0101	0.0140	0.0334	0.7334	0.1728	0.0054	0.0083	0.0000	0.0053	0.0012	0.0004
E6G1M3	GF	Turmeric	Female	Swiss-Webster wild-type	45	5.60	2	5.27	0.0421	0.0037	0.0042	0.1852	0.2538	0.4439	0.0386	0.0065	0.0130	0.0062	0.0020	0.0009
E6G5M4	GF	Bland	Female	Swiss-Webster wild-type	53	5.50	2	5.32	0.0139	0.0021	0.0032	0.1958	0.2598	0.5018	0.0070	0.0057	0.0031	0.0060	0.0013	0.0003
E7G2M1	GF	Turmeric	Male	C57BL/6 wild-type	47	8.07	2	5.48	0.0066	0.0068	0.0006	0.0426	0.5484	0.2731	0.1047	0.0031	0.0006	0.0103	0.0027	0.0006
E11G6M2	GF	Turmeric	Male	C57BL/6 Ret+/-	53	9.83	2	5.83	0.0030	0.0062	0.0006	0.0392	0.0995	0.8362	0.0029	0.0026	0.0000	0.0051	0.0032	0.0014
E7G2M2	GF	Turmeric	Male	C57BL/6 wild-type	47	8.03	2	5.98	0.0007	0.0028	0.0201	0.0024	0.0151	0.9357	0.0048	0.0047	0.0009	0.0101	0.0018	0.0009
E6G5M2	GF	Bland	Male	Swiss-Webster wild-type	49	5.32	2	6.23	0.0044	0.0074	0.0204	0.0449	0.1382	0.2480	0.5233	0.0021	0.0011	0.0081	0.0022	0.0000
E11G7M1	GF	Turmeric	Female	C57BL/6 Ret+/-	53	8.33	2	6.24	0.0458	0.0039	0.0063	0.0279	0.0639	0.3898	0.3404	0.1046	0.0044	0.0085	0.0029	0.0017
E11G6M1	GF	Turmeric	Male	C57BL/6 Ret+/-	63	9.02	2	6.47	0.0009	0.0021	0.0006	0.0625	0.0389	0.2785	0.6043	0.0027	0.0003	0.0075	0.0012	0.0003
E11G7M2	GF	Turmeric	Female	C57BL/6 Ret+/-	53	8.65	2	6.55	0.0193	0.0032	0.0238	0.0509	0.0045	0.3247	0.3453	0.2094	0.0093	0.0063	0.0021	0.0012
E6G5M1	GF	Bland	Male	Swiss-Webster wild-type	49	5.32	2	6.59	0.0542	0.0189	0.0217	0.0037	0.1436	0.1387	0.0988	0.5140	0.0003	0.0047	0.0014	0.0000
E7G2M4	GF	Turmeric	Female	C57BL/6 wild-type	89	8.07	2	6.70	0.0007	0.0017	0.0070	0.0098	0.1299	0.0346	0.7633	0.0474	0.0010	0.0013	0.0026	0.0007
E7G2M3	GF	Turmeric	Female	C57BL/6 wild-type	89	8.07	2	6.74	0.0003	0.0003	0.0012	0.0063	0.1194	0.0485	0.7902	0.0230	0.0027	0.0059	0.0014	0.0009
E3G1M2	GF	Turmeric	Male	Swiss-Webster wild-type	48	NA	2	6.77	0.0241	0.0031	0.0001	0.0582	0.0474	0.2263	0.2682	0.3213	0.0484	0.0026	0.0003	0.0000
